INFO 2025-03-08 01:57:33,084 autoreload Watching for file changes with StatReloader
DEBUG 2025-03-08 01:57:33,335 autoreload File C:\Users\lisai\AppData\Local\Programs\Python\Python312\Lib\site-packages\werkzeug\datastructures\headers.py first seen with mtime 1739926556.6916838
DEBUG 2025-03-08 01:57:33,336 autoreload File C:\Users\lisai\AppData\Local\Programs\Python\Python312\Lib\site-packages\django\views\decorators\__init__.py first seen with mtime 1738459699.1202295
DEBUG 2025-03-08 01:57:33,336 autoreload File C:\Users\lisai\AppData\Local\Programs\Python\Python312\Lib\site-packages\django\db\backends\ddl_references.py first seen with mtime 1738459698.9532962
DEBUG 2025-03-08 01:57:33,336 autoreload File C:\Users\lisai\AppData\Local\Programs\Python\Python312\Lib\site-packages\django\db\transaction.py first seen with mtime 1738459698.9511595
DEBUG 2025-03-08 01:57:33,336 autoreload File C:\Users\lisai\AppData\Local\Programs\Python\Python312\Lib\site-packages\werkzeug\__init__.py first seen with mtime 1739926556.6784122
DEBUG 2025-03-08 01:57:33,336 autoreload File C:\Users\lisai\AppData\Local\Programs\Python\Python312\Lib\importlib\resources\abc.py first seen with mtime 1717718052.0
DEBUG 2025-03-08 01:57:33,337 autoreload File C:\Users\lisai\AppData\Local\Programs\Python\Python312\Lib\site-packages\django\core\validators.py first seen with mtime 1738459698.8991325
DEBUG 2025-03-08 01:57:33,337 autoreload File C:\Users\lisai\AppData\Local\Programs\Python\Python312\Lib\site-packages\flask\sansio\app.py first seen with mtime 1739926557.597893
DEBUG 2025-03-08 01:57:33,337 autoreload File C:\Users\lisai\AppData\Local\Programs\Python\Python312\Lib\email\iterators.py first seen with mtime 1717718052.0
DEBUG 2025-03-08 01:57:33,337 autoreload File C:\Users\lisai\AppData\Local\Programs\Python\Python312\Lib\site-packages\django\core\checks\compatibility\__init__.py first seen with mtime 1738459698.9118173
DEBUG 2025-03-08 01:57:33,337 autoreload File C:\Users\lisai\AppData\Local\Programs\Python\Python312\Lib\site-packages\flask\signals.py first seen with mtime 1739926557.5928059
DEBUG 2025-03-08 01:57:33,338 autoreload File C:\Users\lisai\AppData\Local\Programs\Python\Python312\Lib\site-packages\itsdangerous\timed.py first seen with mtime 1739926557.417096
DEBUG 2025-03-08 01:57:33,338 autoreload File C:\Users\lisai\AppData\Local\Programs\Python\Python312\Lib\site-packages\colorama\ansitowin32.py first seen with mtime 1719199155.0797777
DEBUG 2025-03-08 01:57:33,338 autoreload File C:\Users\lisai\AppData\Local\Programs\Python\Python312\Lib\site-packages\cffi\__init__.py first seen with mtime 1719199174.1057453
DEBUG 2025-03-08 01:57:33,338 autoreload File C:\Users\lisai\AppData\Local\Programs\Python\Python312\Lib\asyncio\base_tasks.py first seen with mtime 1717718052.0
DEBUG 2025-03-08 01:57:33,338 autoreload File C:\Users\lisai\AppData\Local\Programs\Python\Python312\Lib\copy.py first seen with mtime 1717718052.0
